,0,0,0,0,0
74,대구광역시 중구 동인동4가 국채보상로 724 ,대구시수의사회(동인),070-4466-1575,대구광역시 중구,개+고양이+기타
75,대구광역시 서구 달서로 165 (비산동) ,대구시수의사회(보경),053-559-9020,대구광역시 서구,개+고양이
76,대구광역시 중구 삼덕동1가 달구벌대로 2145 ,대구시수의사회(삼덕),053-426-1731,대구광역시 중구,개+고양이+기타
77,대구광역시 서구 서대구로 24 (내당동) ,대구시수의사회(삼성),053-556-8575,대구광역시 서구,개+고양이
78,대구광역시 중구 동덕로8길 2 (대봉동) ,대구시수의사회(원),053-255-8275,대구광역시 중구,개+고양이+기타
79,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,053-964-6258,대구광역시 북구,개+고양이+기타
80,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,053-964-6258,대구광역시 동구,개+고양이+기타
81,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,053-964-6258,대구광역시 달서구,개+고양이+기타
82,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,053-964-6258,대구광역시 남구,개+고양이+기타
83,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,대전광역시 유성구,개+고양이+기타
84,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,대전광역시 중구,개+고양이+기타
85,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,대전광역시 서구,개+고양이+기타
86,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,대전광역시 대덕구,개+고양이+기타
87,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,대전광역시 동구,개+고양이+기타
88,전라남도 순천시 상사면 민속마을길 978 (상사면) .,대한동물사랑협회,061-755-7547,전라남도 순천시,없음
89,"서울특별시 영등포구 영중로8길 6 (영등포동3가, 성남빌딩) 비동 530호",동물구조119,02-6337-0119,서울특별시,없음
90,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,동물보호관리협회,051-971-6208,부산광역시 부산진구,개+고양이+기타
91,서울특별시 도봉구 방학로 119 (방학동) 2층,동물보호단체 다솜,02-6406-0226,서울특별시,없음
92,대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할,동인동물병원,053-424-4258,대구광역시 달성군,개+고양이+기타
93,"강원도 동해시 대동로 159-13 (송정동, 동해시유기동물보호소) ",동해시유기동물보호소,033-522-2990,강원도 동해시,없음
94,서울특별시 강동구 양재대로 1385 (성내동) 둔촌동물병원,둔촌동물병원,02-474-5100,서울특별시 강동구,없음
95,서울특별시 동작구 장승배기로27길 18 (노량진동) ,디아크동물종합병원,02-816-7582,서울특별시 동작구,개+고양이+기타
96,서울특별시 용산구 이태원동 225-93,라온동물병원,02-792-7585,서울특별시 용산구,없음
97,경기도 하남시 신평로 58 (신장동) 1층,러브펫동물병원,031-791-5775,경기도 하남시,개+고양이
98,서울특별시 관악구 남부순환로 1429 (신림동) ,러브펫종합동물병원,02-837-8875,서울특별시 관악구,개+고양이+기타
99,"경기도 파주시 문산읍 방촌로 1636 (문산읍, 강산설렁탕) ",로뎀동물병원,031-952-7576,경기도 파주시,없음
100,울산광역시 남구 봉월로 104 (신정동) ,리틀쥬동물의료원,052-268-8884,울산광역시 남구,개+고양이
101,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,055-225-5481,경상남도 창원시 마산합포회원구,개
102,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청) 8층 지역경제과",마포구청,02-3153-8542,서울특별시 마포구,없음
103,경상남도 의령군 의령읍 남강로 485-75  ,만하농장,055-570-4202,경상남도 의령군,개
104,대구광역시 달성군 화원읍 비슬로 2490 (화원읍) 옥포면 관할,명곡역동물병원,053-633-7579,대구광역시 달성군,개+고양이+기타
105,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍) ,목포시유기동물보호소,***********,전라남도 목포시,개+고양이
106,전라남도 무안군 무안읍 백로로 164-123  ,무안군유기동물보호소,061-450-4059,전라남도 무안군,없음
107,경기도 파주시 문산읍 문향로 35 문산동물병원,문산동물병원,031-953-7570,경기도 파주시,없음
108,울산광역시 남구 중앙로 218-1 (신정동) ,미래펫동물병원,052-273-5911,울산광역시 남구,개+고양이
109,경기도 파주시 청석로 264 (동패동) 2층 201호 거북목프라자,미엘동물병원,031-935-5009,경기도 파주시,없음
110,"서울특별시 용산구 원효로 51 (산천동, 삼성테마트) 119호",민트동물병원,02-707-2235,서울특별시 용산구,없음
111,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호센터,***********,경상남도 밀양시,개+고양이
112,전라북도 전주시 완산구 전주천서로 111 (서서학동) 박영재 동물병원,박영재동물병원,063-284-7774,전라북도 임실군,개
113,서울특별시 마포구 도화길 42 (도화동) ,박창석동물병원,02-6405-7582,서울특별시 마포구,개+고양이+토끼+페럿+햄스터+기니피그
114,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,반려동물보호센터,043-201-2298,충청북도 청주시,개+고양이+기타
115,경기도 파주시 문산읍 문산역로 77 버디종합동물병원,버디종합동물병원,031-953-1183,경기도 파주시,없음
116,울산광역시 울주군 범서읍 천상중앙길 49 (범서읍) ,범서조은동물병원,052-248-7582,울산광역시 울주군,개
117,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러) ",베스트동물병원,032-934-9340,인천광역시 강화군,개+고양이+염소+기타축종
118,전라북도 완주군 용진읍 순지2길 187-6  ,별빛유기동물지킴이,***********,전라북도 완주군,없음
119,충청남도 보령시 녹문3길 7 (내항동) ,보령시임시동물보호소,***********,충청남도 보령시,개+고양이+기타
120,전라남도 보성군 노동면 노동천동길 209 (노동면) 신천리 71,보성유기동물보호센터,061-850-5403,전라남도 보성군,개
121,경상북도 봉화군 봉성면 농업인길 24 (봉성면) 봉화군농업기술센터,봉화군유기동물보호소,054-679-6865,경상북도 봉화군,개
122,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,051-832-7119,부산광역시 서구,개+고양이+기타
123,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,051-832-7119,부산광역시 북구,개+새끼고양이+다친고양이+기타
124,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,051-832-7119,부산광역시 강서구,개+고양이+기타
125,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,051-832-7119,부산광역시 중구,개+고양이+기타
126,경기도 부천시 길주로 660 (춘의동) ,부천시수의사회,032-323-4999,경기도 부천시,없음
127,전라남도 영광군 불갑면 함영로 2758 ,불갑동물임시보호소,***********,전라남도 영광군,없음
128,부산광역시 강서구 제도로 726 (강동동) ,사단법인 하얀비둘기,051-293-9779,부산광역시 기장군,없음
129,부산광역시 강서구 제도로 726 (강동동) ,사단법인 하얀비둘기,051-293-9779,부산광역시 동구,개+고양이+기타
130,울산광역시 남구 중앙로 165-1 (신정동) ,사랑동물병원,052-273-0075,울산광역시 남구,개+고양이
131,경상남도 사천시 용현면 진삼로 902  ,사천시 동물보호센터,055-831-3784,경상남도 사천시,없음
132,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍) ,산청동물보호센터,***********,경상남도 산청군,개
133,"인천광역시 부평구 체육관로 40 (삼산동, 신영프라자) ",삼산종합동물병원,032-330-0075,인천광역시 부평구,개+고양이+기타동물
134,"강원도 삼척시 근덕면 교곡길 127-281 (근덕면, 쓰레기소각시설) 유기동물보호소",삼척시유기동물보호소,***********,강원도 삼척시,개+고양이
135,경상북도 상주시 청리면 남상주로 1205-59  ,상주유기동물보호센터,***********,경상북도 상주시,없음
136,충청남도 서산시 안견로 235 (동문동) ,서산동물병원,041-667-5525,충청남도 서산시,없음
137,충청남도 서산시 인지면 무학재1길 99  ,서산시 동물보호센터,041-660-2040,충청남도 서산시,없음
138,서울특별시 마포구 매봉산로 31 (상암동) 지하1층,서울동물복지지원센터,02-2124-2832,서울특별시 용산구,없음
139,서울특별시 마포구 매봉산로 31 (상암동) 지하1층,서울동물복지지원센터,02-2124-2832,서울특별시 관악구,없음
140,서울특별시 마포구 매봉산로 31 (상암동) 에스플렉스센터 지하1층,서울동물복지지원센터,02-2124-2832,서울특별시 마포구,없음
141,충청남도 서천군 마산면 한마로 1189-19 ,서천군유기동물보호소,041-950-4390,충청남도 서천군,개
142,"서울특별시 서초구 양재천로19길 22 (양재동, 숨빌딩) 서초동물사랑센터",서초동물사랑센터,02-6956-7980,서울특별시 서초구,없음
143,경상북도 성주군 선남면 선노로 522 (선남면) ,성주유기동물보호센터,***********,경상북도 성주군,개+고양이
144,"인천광역시 부평구 원적로 392 (산곡동, 백마타운) ",세림동물병원,032-503-0075,인천광역시 부평구,개+고양이+기타동물
145,세종특별자치시  전동면 미륵당1길 188 (전동면) ,세종유기동물보호센터,***********,세종특별자치시,없음
146,세종특별자치시  조치원읍 새내로 81-2 (조치원읍) 세종종합동물병원,세종종합동물병원,044-868-8275,세종특별자치시,없음
147,강원도 속초시 하도문길 103 (대포동) ,속초시유기동물보호소,033-633-2519,강원도 속초시,개+고양이+기타
148,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",수원시 동물보호센터,031-228-3557,경기도 수원시,개+고양이+기타
149,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",순천시유기동물보호소,061-749-8793,전라남도 순천시,없음
150,울산광역시 남구 대학로 112 (무거동) ,스마일동물병원,052-277-0075,울산광역시 남구,개+고양이
151,경기도 안산시 단원구 한양대학로 208 (고잔동) 2층 스타캣츠,스타캣츠,031-410-3777,경기도 안산시,고양이
152,"경기도 시흥시 관곡지로 139 (하중동, 생명농업기술센터) ",시흥시농업기술센터,031-310-2247,경기도 시흥시,없음
153,인천광역시 중구 운중로 33 (운남동) ,신공항동물병원,032-751-4598,인천광역시 중구,개+고양이+기타
154,대구광역시 수성구 수성동1가 명덕로 393 (수성동1가) ,신세계동물병원,053-751-6693,대구광역시 수성구,개+고양이+기타
155,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍) ,신안유기동물보호센터,***********,전라남도 신안군,없음
156,충청남도 아산시 염치읍 충무로 295-9  ,아산시동물보호센터,041-533-3563,충청남도 아산시,개+고양이
157,경기도 파주시 경의로 1100 (야당동) 201호,야당동물병원,031-948-7579,경기도 파주시,없음
158,강원도 양구군 남면 양남로 319-31 (남면) 양구군농업기술센터,양구,033-480-7785,강원도 양구군,없음
159,경상남도 양산시 동면 석산리 392 양산시농업기술센터,양산시 동물보호센터,055-392-5337,경상남도 양산시,개+고양이
160,경기도 양평군 양평읍 농업기술센터길 59 (양평읍) ,양평군유기동물보호소,031-770-2337,경기도 양평군,없음
161,"전라북도 부안군 부안읍 번영로 185 (부안읍, 르노삼성자동차) 연합동물병원",연합동물병원,063-580-4499,전라북도 부안군,개+고양이+기타
162,서울특별시 용산구 원효로2가 84-10,열린동물병원,02-3273-0075,서울특별시 용산구,없음
163,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,054-730-6286,경상북도 영덕군,개+고양이
164,경상북도 영양군 입암면 마령산해로 1202 (입암면) .,영양군유기동물보호소,***********,경상북도 영양군,개+고양이+기타
165,강원도 영월군 영월읍 덕포우회길 329  ,영월군위탁동물보호소,033-370-2392,강원도 영월군,개
166,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,영일동물플러스,054-262-8295,경상북도 포항시,개+고양이+야생동물
167,경상북도 영주시 문수면 반구로324번길 135 (문수면) 장수면 반구리 407-8,영주시 동물보호센터,***********,경상북도 영주시,개
168,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",영천유기동물보호센터,054-339-7175,경상북도 영천시,개+고양이+기타
169,충청남도 예산군 예산읍 아리랑로 236  지하1층,예산동물보호센터,041-339-7832,충청남도 예산군,개+고양이
170,대구광역시 수성구 동대구로 207 (황금동) ,예스동물병원,053-768-7543,대구광역시 수성구,개+고양이+기타
171,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소) ",예천군유기동물보호소,054-650-8167,경상북도 예천군,개+기타
172,경기도 오산시 성호대로 36 (오산동) ,오산시수의사회,031-372-9325,경기도 오산시,개+고양이+기타
173,"충청북도 옥천군 옥천읍 삼금로 53 (옥천읍, 동물병원) 옥천동물병원",옥천동물병원,***********,충청북도 옥천군,개+고양이
174,울산광역시 울주군 언양읍 읍성로 135 (언양읍) ,와우동물병원,052-225-0075,울산광역시 울주군,개+고양이+기타
175,서울특별시 마포구 대흥로 48 (대흥동) ,용강동물병원,02-707-2340,서울특별시 마포구,개+고양이+토끼+페럿+햄스터+기니피그
176,"경기도 용인시 처인구 중부대로 1074-1 (삼가동, 용인시 동물보호센터) ",용인시 동물보호센터,031-324-3463,경기도 용인시,개+고양이
177,경상북도 군위군 군위읍 중앙1길 17 (군위읍) ,우성동물병원,054-382-1357,경상북도 군위군,개
178,"경상북도 울릉군 울릉읍 신리길 68 (울릉읍, 울릉도축장) ",울릉군농업기술센터,054-790-6282,경상북도 울릉군,개+고양이+기타
179,울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,052-238-6113,울산광역시 울주군,개+고양이+기타
180,울산광역시 울주군 온양읍 화산발리로 543 (온양읍) ,울산유기동물보호센터,052-238-6113,울산광역시 중구,개+고양이
181,울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,052-238-6113,울산광역시 북구,개+고양이
182,울산광역시 울주군 온양읍 화산발리로 543 (온양읍) ,울산유기동물보호센터,052-238-6113,울산광역시 남구,개+고양이
183,경상북도 울진군 울진읍 대흥신림로 916-37  ,울진군동물보호센터,054-789-6795,경상북도 울진군,개
184,강원도 원주시 호저면 칠봉로 110-6 ,원주유기동물보호센터,033-731-1119,강원도 원주시,개+고양이+기타
185,서울특별시 용산구 원효로2가 30-4,원효동물병원,02-719-7070,서울특별시 용산구,없음
186,충청남도 금산군 금산읍 오리정로 68  월드동물병원,월드동물병원,041-750-2584,충청남도 금산군,개+고양이
187,"경기도 파주시 한울로 123 (동패동, 이마트운정점) 2층, 웰니스클리닉",웰니스클리닉,031-942-7524,경기도 파주시,없음
188,"서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2",웰케어 동물병원,02-337-7575,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터
189,경기도 여주시 능서면 능서공원길 34 (능서면) ,위더스 동물보호센터,031-882-4381,경기도 여주시,개+고양이+기타
190,경기도 여주시 능서면 능서공원길 34 (능서면) ,위더스 동물보호센터,031-882-4381,경기도 이천시,개+고양이+기타동물
191,강원도 고성군 간성읍 꽃내마루길 53-49  ,유기견임시보호소,033-680-3724,강원도 고성군,개
192,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,유기동물및동물보호협,051-971-6208,부산광역시 사상구,개+고양이+기타
193,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면) ,유기동물보호센터,***********,경상북도 안동시,개+고양이
194,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",유기동물보호소,061-659-4429,전라남도 여수시,개+다친고양이
195,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,유기동물임시보호센터,***********,전라남도 완도군,개
196,충청남도 천안시 동남구 충절로 437 (삼룡동) ,유실유기동물보호소,***********,충청남도 천안시,개+고양이+기타
197,서울특별시 도봉구 마들로 664 (도봉동) 2층,이n김동물병원,02-955-6530,서울특별시 노원구,없음
198,충청남도 공주시 감영길 7 (반죽동) ,이기영수의과병원,041-853-7575,충청남도 공주시,개+고양이+기타
199,서울특별시 용산구 이촌동 300-23,이상윤동물병원,02-792-5455,서울특별시 용산구,없음
200,서울특별시 용산구 이태원동 531,이태원동물병원,02-794-4945,서울특별시 용산구,없음
201,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,익산유기동물보호소,063-855-1214,전라북도 익산시,개+고양이+기타
202,전라북도 남원시 인월면 인월로 64  ,인월동물병원,063-636-2873,전라북도 남원시,없음
203,강원도 인제군 인제읍 비봉로44번길 105 ,인제군유기동물보호소,033-460-2473,강원도 인제군,없음
204,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시 수의사회 ,032-515-7567,인천광역시 미추홀구,개+고양이+기타
205,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시수의사회,032-515-7567,인천광역시 연수구,개+고양이+기타
206,인천광역시 계양구 다남동 35-8,인천수의사회유기동물,032-515-7567,인천광역시 옹진군,개+고양이
207,전라북도 임실군 오수면 오수로 182  번지,임실유기동물보호센터,063-640-2516,전라북도 임실군,없음
208,전라남도 장성군 삼서면 대중길 29-27  ,장성군동물보호센터,***********,전라남도 장성군,개+고양이
209,"전라남도 장흥군 안양면 우드랜드길 288 (안양면, 남도국제교육원) 축산사업소",장흥군 동물보호센터,061-860-6729,전라남도 장흥군,개
210,전라북도 김제시 용지면 금백로 571-39 (용지면) 전북말산업복합센터,전북말산업복합센터,063-547-3549,전라북도 김제시,개+고양이
211,경상북도 청송군 현동면 청송로 3128-135 (현동면) ,점곡보호소,***********,경상북도 청송군,없음
212,강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,033-563-0198,강원도 정선군,개+고양이
213,전라북도 정읍시 2산단5길 37-1 (하북동) ,정읍시 동물보호소,063-535-6295,전라북도 정읍시,개+고양이+기타
214,울산광역시 북구 진장17길 11 (진장동) 정철동물병원,정철동물병원,052-287-0348,울산광역시 북구,개+고양이
215,대구광역시 수성구 달구벌대로 2475 (범어동) ,제니스동물병원,053-756-8293,대구광역시 수성구,개+고양이+기타
216,전라북도 장수군 장계면 한들로 76  제이준동물병원,제이준동물병원,***********,전라북도 장수군,개+고양이+기타
217,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주 동물보호센터,064-710-4065,제주특별자치도,개+고양이
218,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주동물보호센터,064-710-4067,제주특별자치도 제주시,없음
